text,label,category,is_mixed
Traffic caused a 51-minute delay. Please improve routing.,0,delay,0
"this isnt what i ordered at all, completely different item",2,wrong_order,0
Two out of five items missing from the delivery.,2,wrong_order,0
Order took over 73 minutes due to heavy traffic.,0,delay,0
"Food spilled inside the bag, everything was wet.",1,damage,0
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Fastest delivery I have ever had! Very impressed!,1,damage,0
"no complaints, everything went smoothly, thanks",4,positive,0
driver left package outside in the rain without notification,3,driver_conduct,0
Outstanding — the driver even helped carry the heavy box.,4,positive,0
very unprofessional behaviour from the delivery agent.,3,driver_conduct,0
"Food spilled inside thr bag, everything was wet",1,damage,0
"missing half my stuff, only got 2 of 4 items",2,wrong_order,0
"item smashed, looks like it was thrown around",1,damage,0
"still waiting, app said 53 min but its been longer",0,delay,0
Driver was polite and very helpful!,4,positive,0
My delivery was 60 minutes late with no notification,4,positive,0
"Box looked a little dented but everything inside was fine, driver was great",1,damage,1
"Carton dented heavily, product inside damaged.",1,damage,0
Order took over 74 minutes due to heavy traffic.,0,delay,0
"Arrived exactly on time, well packaged! Five stars!",4,positive,0
Missing one item but the driver apologized and was professional!,3,driver_conduct,1
Half the oeder is missing from the bag.,2,wrong_order,0
Great communication throughout the delivery process!,4,positive,0
"Arrived exactly on time, well packaged. Five stars!",4,positive,0
Multiple items broken. Needs urgent replacement.,1,damage,0
Driver gave me the wrong order and was dismissive when I asked.,2,wrong_order,1
My delivery was 67 minutes late with no notificayion.,0,delay,0
Packagr arrived completely crushed.,1,damage,0
Driver refused to carry package to my floor.,3,driver_conduct,0
Took 59 minutes longer than usual but driver was very polite about thr delay.,0,delay,1
Excellent service! Delivery arrived 10 mins early,4,positive,0
excellent service! delivery arrived 10 mins early.,4,positive,0
Completely wrong order arrived ay my address.,2,wrong_order,0
Package arrived completely crushed.,1,damage,0
Driver came by earlier.,4,positive,1
Waited 52 extra minutes because of road congestion.,4,positive,0
Driver came by earlier.,4,positive,1
item was broken in transit — packaging was inadequate!,1,damage,0
"wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Order was 59 minutes late AND the box arrived damaged.,0,delay,1
Half the order is missing from thr bag,2,wrong_order,0
Multiple items broken. Needs urgent replacement.,1,damage,0
Order was 34 minutes late AND the box arrived damaged.,0,delay,1
My delivery was 33 minutes late with no notification.,0,delay,0
order was 64 minutes late and the box arrived dsmaged.,1,damage,1
great communication throughout the delivery process.,4,positive,0
Box was torn open and contents were damaged.,2,wrong_order,0
"Delivery was significantly delayed, arriving 68 nins past ETA.",0,delay,0
Driver was polite and very helpful.,4,positive,0
Driver left package outside in the rain without notification,3,driver_conduct,0
Item substitutef without my consent.,2,wrong_order,0
No knock or eing — package left on the street.,3,driver_conduct,0
Traffic caused a 26-minute delay. Please improve routing.,0,delay,0
Item substituted without my consent.,2,wrong_order,0
Driver marked delivered but never arrived.,3,driver_conduct,0
Driver arrived 66 minutes after the estimated window.,0,delay,0
Missing one item but the driver apologized and was professional.,4,positive,1
"missing half my stuff, only got 2 of 4 items",2,wrong_order,0
"driver didnt even knock, just left and marked it delivered",2,wrong_order,0
Great communication throughout the delivery process.,4,positive,0
Traffic caused a 69-minute delay. Please improve routing.,0,delay,0
Deiver was rude and argumentative at the door.,3,driver_conduct,0
multiple items broken. needs urgent replacement.,1,damage,0
package delayed by 42 minutes — no update from the app.,0,delay,0
"delivery running late again, 46 min behind schedule",0,delay,0
Order was 26 minutes late AND the box arrived damaged.,3,driver_conduct,1
Driver called ahead and followed all instructions perfectly!,4,positive,0
Driver came by earlier.,4,positive,1
Half the order is missing from the bag,1,damage,0
Got a duplicate of one item and missing another.,2,wrong_order,0
Delivery person did not follow contactless instructions.,3,driver_conduct,0
Driver was polite snd very helpful.,4,positive,0
package delayed by 38 minutes — no update from the app.,0,delay,0
Missing one item but the driver apologized and was professional.,2,wrong_order,1
"driver didnt even knock, just left and marked it delivered",3,driver_conduct,0
multiple items broken. needs urgent replacement.,1,damage,0
fastest delivery i have ever had. very impressed.,4,positive,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Order mixed up with another customer.,2,wrong_order,0
Took 47 minutes longer than usual but driver was very polite about the delay.,0,delay,1
Very slow delivery today — 80 minute delay on a short route.,0,delay,0
"Carton dented heavily, product inside damaged",1,damage,0
Receoved the order as scheduled.,4,positive,1
Driver was polite and very hrlpful.,4,positive,0
"Package was a bit late but arrived in perfect condition, no complaints!",0,delay,1
delivery confirmed at the door.,4,positive,1
Package arrived in perfect condition. Thank u!,4,positive,0
Order update received!,4,positive,1
"really happy with this delivery, driver was super nice",4,positive,0
Traffic caused a 19-minute delay! Please improve routing!,0,delay,0
Outstanding — the driver even helped carry the heavy box.,4,positive,0
Multiple items broken. Needs urgent replacement,1,damage,0
"perfect delivery — no issues at all, great experience.",4,positive,0
Item was broken in transit — packaging was inadequate.,1,damage,0
Two out of five items missing from the delivert.,2,wrong_order,0
Fastest delivery I have ever had. Very impressed.,4,positive,0
Waited 79 extra minutes because of road congestion.,0,delay,0
Received someone else's package entieely.,2,wrong_order,0
Half the order is missing from the bag.,2,wrong_order,0
traffic caused a 27-minute delay. pls improve routing.,3,driver_conduct,0
superb service. will definitelt use again.,4,positive,0
outstanding — the driver even helped carry the heavy box.,4,positive,0
My delivery was 70 mins late with no notification!,0,delay,0
Driver was polite snd very helpful,4,positive,0
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
My delivery was 46 minutes late with no notification!,0,delay,0
driver was 57 min late and also quite rude about it.,0,delay,1
Missing one item but the driver apologized and was professional.,2,wrong_order,1
Wrong product delivered. Barcode doesn't match my order.,2,wrong_order,0
Took 27 mins longer than usual but driver was very polite about the delay.,0,delay,1
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Driver was 85 min late and also quite rude about it.,0,delay,1
delivery confirmed at the door,4,positive,1
"delivery running late again, 20 min behind schedule",0,delay,0
two out of five items missing from the delivery.,2,wrong_order,0
Driver was 57 min late and also quite eude about it.,0,delay,1
"Food spilled inside the bag, everything was wet.",1,damage,0
two out of five items missing from the delivery.,4,positive,0
order was 77 minutes late and the box arrived damaged.,0,delay,1
order was 66 minutes late and the box arrived damaged,0,delay,1
driver gave me the wrong order and was dismissive when i asked.,2,wrong_order,1
"wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
missing ome item but the driver apologized and was professional.,2,wrong_order,1
"Drivrr was using phone while driving, nearly caused accident.",3,driver_conduct,0
got my package.,4,positive,1
"driver didnt even knock, just left and marked it delivered",3,driver_conduct,0
no knock or ring — package left on the street.,3,driver_conduct,0
Psckage status changed to delivered.,4,positive,1
Package status changed to delivered,3,driver_conduct,1
guy was so rude when i asked him to wait a sec,3,driver_conduct,0
"Driver was using phone while driving, nearly causrd accident.",3,driver_conduct,0
box was torn open and contents were damaged.,1,damage,0
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
"driver was using phone while driving, nearly caused accident",3,driver_conduct,0
Got my package.,4,positive,1
Received someone else's package enyirely.,2,wrong_order,0
Package arrived in perfect condition. Thank you!,1,damage,0
Item substituted without my consent.,2,wrong_order,0
Package status changed to delivered.,4,positive,1
"Perfect delivery — no issues at all, great experience.",4,positive,0
Outstanding — the driver even helped carry the heavy box.,4,positive,0
"Box looked a little dented but everything inside was fine, driver was great.",1,damage,1
Package arrived completely crushed.,1,damage,0
"Wrong item delivered, and it was also crushed in yhe bag.",2,wrong_order,1
"Delivery was significantly delayed, arriving 84 mins past ETA.",0,delay,0
"Wrong item delivered, and it was also crushed in the bsg",2,wrong_order,1
"Wrong item delivered — ordered size L, got size S!",2,wrong_order,0
"delivery running late again, 45 min behind schedule",0,delay,0
Driver marked delivered but never arrived,3,driver_conduct,0
Very unprofessional behaviour from the delivery ageny.,3,driver_conduct,0
"Package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Medicine package was opened and tampered with.,1,damage,0
driver was rude and argumentative at the door.,2,wrong_order,0
Very unprofessional behaviour from the delivery agent.,3,driver_conduct,0
delivery person did not follow contactless instructions.,4,positive,0
Package arrived completely crushed.,1,damage,0
"still waiting, app said 77 min but its been longer",0,delay,0
Package arrived completely crushed.,1,damage,0
two out of five items missing from the delivery.,2,wrong_order,0
Traffic caused a 32-minute delay. Please improve routing.,2,wrong_order,0
Driver arrived 77 minutes after the estimated window.,0,delay,0
Delivery confirmed at the door.,4,positive,1
"package was a bit late but arrived in perfect condition, no complaints.",0,delay,1
Package arrived in perfect condition. Thank you!,4,positive,0
"Wrong item delivered, and it was also crushed in the bag.",2,wrong_order,1
Electronics delivered with cracked screen.,1,damage,0
Waited 79 extra minutes because of road congestion!,0,delay,0
